instance,number,sup,cpm,mis,misr,dir,omega,class,comb. class,other class
1,0,3,0,120.0,21.0,ao,1000.0,1,7.0,
1,1,3,0,55.0,7.5,aa,1000.0,1,7.0,
1,2,3,0,26.0,1.4,vo,1000.0,1,7.0,
1,3,3,0,11.0,0.8,va,1000.0,1,7.0,
1,4,2,0,7.0,5.5,ao,1000.0,1,7.0,
1,5,2,0,25.0,5.5,aa,1000.0,1,7.0,
1,6,2,0,13.0,0.75,vo,1000.0,1,7.0,
1,7,2,0,9.0,0.95,va,1000.0,1,7.0,
1,8,2,6000,8.0,0.4,io,1000.0,1,7.0,
1,9,2,6000,5.5,0.3,ia,1000.0,1,7.0,
1,10,2,18000,2.75,0.6,ia,1000.0,1,7.0,
1,11,2,20000,6.5,0.0,io,1000.0,1,7.0,
1,12,2,22000,2.75,0.0,ia,1000.0,1,7.0,
1,13,2,23000,3.75,0.0,io,1000.0,1,7.0,
1,14,2,2000,1.4,0.0,ia,1000.0,1,7.0,
1,15,3,4000,18.0,0.0,io,1000.0,1,7.0,
1,16,3,4000,1.9,0.0,ia,1000.0,1,7.0,
1,17,3,3000,7.0,0.0,io,1000.0,1,7.0,
1,18,3,24000,1.25,0.0,ia,1000.0,1,7.0,
1,19,3,20000,4.0,0.0,ia,1000.0,1,7.0,
1,20,3,18000,3.5,0.0,io,1000.0,1,7.0,
1,21,3,6000,2.5,0.25,io,1000.0,1,7.0,
1,22,3,1000,12.0,1.0,io,1000.0,1,7.0,
1,23,3,2000,4.5,0.0,io,1000.0,1,7.0,
1,24,3,2000,4.5,0.35,ia,1000.0,1,7.0,
1,25,3,4000,18.0,0.0,ma,1000.0,1,7.0,
2,0,1,0,9.0,0.0,ao,3000.0,1,7.0,
2,1,1,0,6.0,0.0,av,3000.0,1,7.0,
2,2,1,0,2.5,0.0,vo,3000.0,1,7.0,
2,3,1,0,1.3,0.0,vv,3000.0,1,7.0,
2,4,3,0,65.0,0.0,ao,3000.0,1,7.0,
2,5,3,0,22.5,0.0,av,3000.0,1,7.0,
2,6,3,0,12.0,0.0,vo,3000.0,1,7.0,
2,7,3,0,3.5,0.0,vv,3000.0,1,7.0,
2,8,4,0,27.5,0.0,ao,3000.0,1,7.0,
2,9,4,0,9.0,0.0,aa,3000.0,1,7.0,
2,10,4,0,5.5,0.0,vo,3000.0,1,7.0,
2,11,4,0,2.3,0.0,va,3000.0,1,7.0,
2,12,2,0,10.0,0.0,ao,3000.0,1,7.0,
2,13,2,0,7.5,0.0,aa,3000.0,1,7.0,
2,14,2,0,2.85,0.0,vo,3000.0,1,7.0,
2,15,2,0,1.4,0.0,va,3000.0,1,7.0,
2,16,3,18000,0.9,0.0,io,3000.0,1,7.0,
2,17,3,18000,0.75,0.0,iv,3000.0,1,7.0,
2,18,4,3000,3.3,0.0,io,3000.0,1,7.0,
2,19,4,3000,1.3,0.0,ia,3000.0,1,7.0,
2,20,4,6000,0.65,0.0,io,3000.0,1,7.0,
2,21,4,6000,0.5,0.0,ia,3000.0,1,7.0,
2,22,4,9000,2.75,0.0,io,3000.0,1,7.0,
2,23,4,9000,0.7,0.0,ia,3000.0,1,7.0,
2,24,4,18000,0.7,0.0,io,3000.0,1,7.0,
2,25,3,9000,6.0,0.0,io,3000.0,1,7.0,
2,26,3,9000,1.0,0.0,iv,3000.0,1,7.0,
2,27,2,18000,0.6,0.0,ia,3000.0,1,7.0,
2,28,2,6000,2.5,0.0,io,3000.0,1,7.0,
2,29,2,6000,0.75,0.0,ia,3000.0,1,7.0,
2,30,3,3000,9.0,0.0,io,3000.0,1,7.0,
2,31,3,3000,3.1,0.0,iv,3000.0,1,7.0,
2,32,3,6000,0.9,0.0,io,3000.0,1,7.0,
2,33,1,3000,0.8,0.0,io,3000.0,1,7.0,
2,34,1,3000,0.45,0.0,iv,3000.0,1,7.0,
2,35,1,6000,2.3,0.0,io,3000.0,1,7.0,
2,36,1,6000,0.85,0.0,iv,3000.0,1,7.0,
2,37,1,18000,0.7,0.0,iv,3000.0,1,7.0,
2,38,2,3000,1.05,0.0,io,3000.0,1,7.0,
2,39,2,3000,0.7,0.0,ia,3000.0,1,7.0,
2,40,3,3000,9.0,0.0,ma,3000.0,1,7.0,
3,0,3,0,47.5,7.0,ao,1500.0,1,7.0,
3,1,3,0,20.0,5.5,aa,1500.0,1,7.0,
3,2,3,0,3.85,0.9,vo,1500.0,1,7.0,
3,3,3,0,1.6,0.7,va,1500.0,1,7.0,
3,4,4,0,27.5,6.0,ao,1500.0,1,7.0,
3,5,4,0,25.0,5.0,aa,1500.0,1,7.0,
3,6,4,0,2.1,0.7,vo,1500.0,1,7.0,
3,7,4,0,2.0,0.6,va,1500.0,1,7.0,
3,8,2,0,7.0,5.0,ao,1500.0,1,7.0,
3,9,2,0,75.0,34.0,aa,1500.0,1,7.0,
3,10,2,0,0.9,0.7,vo,1500.0,1,7.0,
3,11,2,0,5.0,2.7,va,1500.0,1,7.0,
3,12,1,0,5.0,4.0,ao,1500.0,1,7.0,
3,13,1,0,80.0,40.0,av,1500.0,1,7.0,
3,14,1,0,0.6,0.6,vo,1500.0,1,7.0,
3,15,1,0,5.4,2.7,vv,1500.0,1,7.0,
3,16,4,22000,0.3,0.0,io,1500.0,1,7.0,
3,17,2,1500,4.8,2.4,ia,1500.0,1,7.0,
3,18,2,3000,1.2,0.0,ia,1500.0,1,7.0,
3,19,3,1500,3.0,0.0,io,1500.0,1,7.0,
3,20,3,1500,1.5,0.0,ia,1500.0,1,7.0,
3,21,1,1500,5.0,2.7,iv,1500.0,1,7.0,
3,22,3,31000,0.95,0.0,io,1500.0,1,7.0,
3,23,3,31000,0.35,0.0,ia,1500.0,1,7.0,
3,24,1,3000,1.0,0.0,iv,1500.0,1,7.0,
3,25,4,1500,1.9,0.0,io,1500.0,1,7.0,
3,26,4,1500,1.7,0.0,ia,1500.0,1,7.0,
3,27,1,1500,5.0,0.0,ma,1500.0,1,7.0,
4,0,3,0,38.0,0.0,ao,1500.0,1,7.0,
4,1,3,0,20.0,0.0,av,1500.0,1,7.0,
4,2,3,0,3.4,0.0,vo,1500.0,1,7.0,
4,3,3,0,2.0,0.0,vv,1500.0,1,7.0,
4,4,4,0,24.0,0.0,ao,1500.0,1,7.0,
4,5,4,0,14.0,0.0,aa,1500.0,1,7.0,
4,6,4,0,2.2,0.0,vo,1500.0,1,7.0,
4,7,4,0,1.7,0.0,va,1500.0,1,7.0,
4,8,1,0,34.0,0.0,ao,1500.0,1,7.0,
4,9,1,0,55.0,0.0,av,1500.0,1,7.0,
4,10,1,0,6.7,0.0,vo,1500.0,1,7.0,
4,11,1,0,5.7,0.0,vv,1500.0,1,7.0,
4,12,2,0,57.5,0.0,ao,1500.0,1,7.0,
4,13,2,0,65.0,0.0,aa,1500.0,1,7.0,
4,14,2,0,8.2,0.0,vo,1500.0,1,7.0,
4,15,2,0,6.3,0.0,va,1500.0,1,7.0,
4,16,3,1500,2.5,0.0,io,1500.0,1,7.0,
